query_id,question_number,source,question,model,ground_truth_sparql,generated_sparql,syntax_ok,returns_results,perfect_match,gt_num_rows,gt_num_cols,gen_num_rows,gen_num_cols,arity_matching_f1,exact_match_f1,entity_set_f1,row_matching_f1,less_columns_flag,prompt_tokens,completion_tokens,total_tokens
MORTAR_001,,,What are the brick points in this graph?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },SELECT ?point WHERE { ?point a <https://brickschema.org/schema/1.1/Brick#Point> . },True,False,False,1346,2,0,1,0.6666666666666666,0.0,0.0,0.0,True,199,290,489
MORTAR_001,,,Can you find nodes that has information about an external reference?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"SELECT ?node ?externalReference WHERE {
  ?node rdfs:seeAlso ?externalReference .
}",True,True,False,1346,2,52,2,1.0,0.0,0.0,0.0,False,202,197,399
MORTAR_001,,,What points does this graph have?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"SELECT ?x ?y WHERE {
  GRAPH <http://example.org/graph> {
    ?point a <http://example.org/ontology/Point> ;
           <http://example.org/ontology/x> ?x ;
           <http://example.org/ontology/y> ?y .
  }
}",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,474,551,1025
MORTAR_001,,,What data sources I have in my system?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },SELECT DISTINCT ?source WHERE { ?source a ?type . FILTER(?type != rdf:Property && ?type != owl:Class && ?type != rdfs:Class) } LIMIT 100,True,True,False,1346,2,99,1,0.6666666666666666,0.0,0.0,0.0,True,8084,1119,9203
MORTAR_001,,,Which entities that are instances of Point (including its subclasses) have which types?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX : <#>
SELECT ?entity ?type WHERE {
  ?entity rdf:type ?type .
  ?type rdfs:subClassOf* :Point .
}",False,False,False,1346,2,0,0,0.0,0.0,0.0,0.0,False,206,314,520
MORTAR_001,,,What point entities exist and what types are they assigned?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"SELECT ?entity ?type WHERE {
  ?entity a ?type .
  FILTER regex(str(?type), ""Point"", ""i"")
} LIMIT 100",True,True,False,1346,2,99,2,1.0,0.13702422145328721,0.15303531215562263,0.13702422145328721,False,17580,676,18256
MORTAR_001,,,List all measurement points along with their categories.,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX ex: <http://example.org/ontology#>
SELECT ?measurementPoint ?category WHERE {
  ?measurementPoint a ex:MeasurementPoint .
  ?measurementPoint ex:hasCategory ?category .
}
ORDER BY ?measurementPoint",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,199,214,413
MORTAR_001,,,What data points are defined in the building model and how are they classified?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX ex: <http://example.org/building#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?dataPoint ?dataPointLabel ?classification ?classificationLabel
WHERE {
  # Data points defined in the building model
  ?dataPoint a ex:DataPoint .
  OPTIONAL { ?dataPoint rdfs:label ?dataPointLabel . }
  
  # Classification of each data point (e.g., temperature, humidity, occupancy, etc.)
  OPTIONAL {
    ?dataPoint ex:hasClassification ?classification .
    OPTIONAL { ?classification rdfs:label ?classificationLabel . }
  }
}
ORDER BY ?dataPoint",True,False,False,1346,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,205,401,606
MORTAR_001,,,Which data points does the system include and how are they grouped?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX ex: <http://example.org/ontology/>
SELECT ?dataPoint ?group WHERE {
  ?system a ex:System .
  ?system ex:hasDataPoint ?dataPoint .
  OPTIONAL { ?dataPoint ex:belongsToGroup ?group . }
}",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,203,382,585
MORTAR_002,,,Find all equipment and its points that are Zone Air Temperature Setpoints,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>
PREFIX bf: <https://brickschema.org/schema/1.3/BrickFrame#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?equipment ?equipmentLabel ?point ?pointLabel WHERE {
  ?equipment a brick:Equipment .
  ?point a brick:Zone_Air_Temperature_Setpoint .
  ?point bf:isPointOf ?equipment .
  OPTIONAL { ?equipment rdfs:label ?equipmentLabel . }
  OPTIONAL { ?point rdfs:label ?pointLabel . }
}",True,False,False,221,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,203,448,651
